fre_id,eng_id,fre_docname,eng_docname
001-207014,001-206897,SLOVÉNIE c. CROATIE,SLOVENIA v. CROATIA
001-222891,001-222889,UKRAINE ET PAYS-BAS c. RUSSIE,UKRAINE AND THE NETHERLANDS v. RUSSIA
001-207626,001-207622,UKRAINE c. RUSSIE (CRIMÉE),UKRAINE v. RUSSIA (RE CRIMEA)
001-92366,001-141152,AFFAIRE STEPHENS c. MALTE (N° 1),CASE OF STEPHENS v. MALTA  (No. 1)
001-173457,001-186258,AFFAIRE VASILICIUC c. RÉPUBLIQUE DE MOLDOVA,CASE OF VASILICIUC AGAINST THE REPUBLIC OF MOLDOVA
001-207810,001-208054,AFFAIRE VERONICA CIOBANU c. RÉPUBLIQUE DE MOLDOVA,CASE OF VERONICA CIOBANU v. THE REPUBLIC OF MOLDOVA
001-75063,001-49227,CHYPRE c. TURQUIE,CYPRUS AGAINST TURKEY
001-201354,001-201353,AFFAIRE N.D. ET N.T. c. ESPAGNE,CASE OF N.D. AND N.T. v. SPAIN
001-202457,001-202468,M.N. ET AUTRES c. BELGIQUE,M.N. AND OTHERS v. BELGIUM
001-43151,001-22099,BANKOVIĆ ET AUTRES c. BELGIQUE ET AUTRES,BANKOVIĆ AND OTHERS v. BELGIUM AND OTHERS
001-114222,001-204664,AFFAIRE CATAN ET AUTRES c. RÉPUBLIQUE DE MOLDOVA ET RUSSIE,CASE OF CATAN AND OTHERS AGAINST THE REPUBLIC OF MOLDOVA AND RUSSIA AND 1 OTHER CASE
001-44291,001-78623,MARKOVIC et AUTRES contre l'ITALIE,CASE OF MARKOVIC AND OTHERS v. ITALY
001-66255,001-61875,AFFAIRE ASSANIDZÉ c. GÉORGIE,CASE OF ASSANIDZE v. GEORGIA
001-105607,001-168350,AFFAIRE AL-SKEINI ET AUTRES c. ROYAUME-UNI,CASE OF AL-SKEINI AND OTHERS AGAINST THE UNITED KINGDOM
001-103604,001-77008,QUARK FISHING LTD. c. ROYAUME-UNI,QUARK FISHING LTD. v. THE UNITED KINGDOM
001-189635,001-113074,AFFAIRE GÜZELYURTLU ET AUTRES c. CHYPRE ET TURQUIE,GUZELYURTLU AND OTHERS v. CYPRUS AND TURKEY
001-208318,001-208279,AFFAIRE HANAN c. ALLEMAGNE,CASE OF HANAN v. GERMANY
001-96623,001-172518,AFFAIRE RANTSEV c. CHYPRE ET RUSSIE [Extraits],CASE OF RANTSEV AGAINST CYPRUS AND RUSSIA
001-219335,001-219333,AFFAIRE H.F. ET AUTRES c. FRANCE,CASE OF H.F. AND OTHERS v. FRANCE
001-194320,001-229897,AFFAIRE ROMEO CASTAÑO c. BELGIQUE,CASE OF ROMEO CASTAÑO AGAINST BELGIUM
001-223607,001-223361,AFFAIRE MAMASAKHLISI ET AUTRES c. GÉORGIE ET RUSSIE,CASE OF MAMASAKHLISI AND OTHERS v. GEORGIA AND RUSSIA
001-97988,001-145055,AFFAIRE MEDVEDYEV ET AUTRES c. FRANCE,CASE OF MEDVEDYEV AND OTHERS AGAINST FRANCE
001-155656,001-108383,AFFAIRE CHIRAGOV ET AUTRES c. ARMÉNIE,CHIRAGOV AND OTHERS v. ARMENIA
001-207758,001-207757,AFFAIRE GÉORGIE c. RUSSIE (II),CASE OF GEORGIA v. RUSSIA (II)
001-212194,NaN,AARRASS c. BELGIQUE,NaN
001-209211,NaN,BRANDÃO FREITAS LOBATO c. PORTUGAL,NaN
001-65008,001-60454,"AFFAIRE GENTILHOMME, SCHAFF-BENHADJI ET ZEROUKI c. FRANCE","CASE OF GENTILHOMME, SCHAZFF-BENHADJI AND ZEROUKI v. FRANCE"
001-225736,001-225440,AFFAIRE BRYAN ET AUTRES c. RUSSIE,CASE OF BRYAN AND OTHERS v. RUSSIA
001-62474,001-220584,AFFAIRE LOIZIDOU c. TURQUIE (EXCEPTIONS PRÉLIMINAIRES),CASE OF LOIZIDOU AGAINST TURKEY
001-62566,001-220584,AFFAIRE LOIZIDOU c. TURQUIE,CASE OF LOIZIDOU AGAINST TURKEY
001-64012,001-212454,AFFAIRE CHYPRE c. TURQUIE,CASE OF CYPRUS AGAINST TURKEY
001-155725,001-155662,AFFAIRE SARGSYAN c. AZERBAÏDJAN,CASE OF SARGSYAN v. AZERBAIJAN
001-161263,001-145069,AFFAIRE MOZER c. RÉPUBLIQUE DE MOLDOVA ET RUSSIE,MOZER v. THE REPUBLIC OF MOLDOVA AND RUSSIA
